Mon Lunch|||||||||||||||||||||||||
| Egg Salad |1|179.7|752|13.7|11.5|3.1|4.7|1.3|5.6|5.9|1.8|154.3|467|90.3|2.7|||||||||
| Chicken Salad |1|298.7|1247|42.2|12|0|3.1|5.2|7.9|5.9|1.8|134.3|802|50.3|1.8|||||||||
| Cheese Salad |1|365.7|1528|21.5|28.6|17.3|7.5|1|5.7|6|1.8|592.3|397|624.3|23.8|||||||||
|||||||||||||||||||||||||
| Mashed Potatoes |118|139|580|2.0|7.0|3.3|2.7|0.4|1.1|17.0|1.3|186.0|377.0|18.0|0.4|||||||||
| Boiled Rice |110|126|532|2.0|0.3|0.0|0.0|0.0|0.0|30.0|0.2|1.0|39.0|1.0|0.2|||||||||
| Sliced Carrots |120|29|120|0.7|0.5|0.1|0.0|0.2|5.5|5.9|3.0|60.0|144.0|28.8|0.5|||||||||
| Cauliflower |120|34|140|3.5|1.1|0.2|0.1|0.6|2.2|2.5|1.9|5|144|20|0.4|||||||||
|||||||||||||||||||||||||
| Piece of Fresh Fruit |100|37-95|154-397|0.4-1.2|0.1-0.3|0.1|0.0|0.1|8.5-20.9|8.5-23.2|1.1-1.8|1.0-5.0|120-400|4.0-47|0.1-0.3|||||||||
| Fruit in Natural Juice |150|44|183|0.6|0.0|0.0|0.0|0.0|10.8|10.8|1.5|4.5|143.0|13.5|0.6|||||||||
| Fruit Yoghurt |110|78|326|3.3|0.2|0.0|0.0|0.0|10.2|10.2|0.0|49.5|211.2|n/a|n/a|||||||||
| Cheese and Biscuits |1|207|864|10.2|14.5|7.6|3.3|0.4|0|9.6|0.3|338|43|274|0.3|||||||||
| Vanilla Ice Cream|110|176|738|2.8|7.8|4.9|n/a|n/a|8.0|23.5|0.0|44.0|n/a|140.0|0.1|||||||||
| Orange Bread & Butter Pudding with custard|214|259|1095|8.0|8.5|4.6|2.2|0.6|25.5|40.1|0.5|245.0|302.0|236.0|0.7|||||||||
|Custard |110|83|354|3.0|2.0|1.1|0.4|0.1|10.0|14.0|0.0|59.0|159.0|121.0|0.1|||||||||
| Crème Caramel |167|253|1069|10.6|7.6|2.2|3.0|1.1|37.9|37.9|0.0|124.0|195.0|123.0|1.4|||||||||
Wed Lunch|||||||||||||||||||||||||
|  Tomato & Butterbean Soup  |240|271|1141|7.3|11.3|5.6|3|1.1|6.5|37|3.4|565|450|110|1.6|||||||||
|  Fruit Juice |160|75|314|0.2-0.8|0.2|0.0|0.0|0.0|16.2-17.8|16.2-17.8|0.2|16.0|240.0|16.0|0.3|||||||||
|||||||||||||||||||||||||
|  Bread roll and Butter/Margarine|1|205|864|4.7|9.3|5.5|2.3|0.6|1.4|27|1.2|389|89|90|0.8|||||||||
|||||||||||||||||||||||||
| Pasta, Ham and White Bean Bake |337|385|1627|23.7|9.3|2.8|3.7|1.3|8.7|55.1|5.4|964|847|124|2.48|||||||||
| Vegetarian Hot Pot |271|117|491|3.0|3.5|0.4|0.6|0.6|7.8|20.0|3.5|188.0|556.0|43.0|1.2|||||||||
| Baby Carrots |120|29|120|0.7|0.5|0.1|0.0|0.2|5.5|5.9|3.0|60.0|144.0|28.8|0.5|||||||||
| New Potatoes |120|86|367|2.2|0.1|0.0|0.0|0.1|0.8|20.4|1.4|8.0|336.0|6.0|0.4|||||||||
|||||||||||||||||||||||||
| Cheese & Tomato Sand |1|362.5|1515|16.35|19.55|9.9|5.4|2.7|3.4|31.7|2.8|658.6|266.8|398|1.7|||||||||
| Chicken Salad (mayonnaise)Sandwich |1|314|1314|30.3|8.4|1.7|2.3|3.8|2.5|30.8|2.4|891.5|407.0|107.9|2.5|||||||||
| Plain Ham Sandwich |1|233|975|13.5|6.8|1.6|2.2|2.5|2.6|30.9|2.4|846.0|272.8|102.0|1.7|||||||||
| Tuna Mayonnaise Sand |1|394.5|1649|47.15|10.05|1.8|2.3|5.1|2.3|30.7|2.4|937|541.1|113.8|3.2|||||||||
| Egg & Tomato Sandwich |1|358|1504.5|18.95|16.5|4.3|6.1|3.8|4.6|35.65|2.7|537.5|520.5|241.5|3.55|||||||||
|||||||||||||||||||||||||
